Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
12,25,0,0,0,14,3.2,0.11,0,14,0,0
12,25,1,0,0,14,3.2,0.11,0,14,0,0
12,25,2,0,0,14,3.2,0.11,0,14,0,0
12,25,3,0,0,15,3.2,0.11,0,15,0,0
12,25,4,0,0,15,3.2,0.11,0,15,0,0
12,25,5,0,0,15,3,0.11,0,15,0,0
12,25,6,0,0,15,3.1,0.11,0,15,0,0
12,25,7,454,31,15,3.6,0.11,179.248,18.179,538.93,503.98
12,25,8,721,51,15,4.4,0.11,423.187,21.976,1488.873,1420.262
12,25,9,832,62,16,5.1,0.11,617.984,25.307,2161.025,2068.597
12,25,10,866,73,16,5.6,0.11,745.428,26.552,2578.118,2470.911
12,25,11,0,166,16,6.1,0.11,159.312,18.115,537.331,502.437
12,25,12,6,184,16,6.3,0.11,182.888,18.376,619.969,582.147
12,25,13,0,143,16,6.4,0.11,136.98,17.763,462.646,430.398
12,25,14,0,104,16,6.3,0.11,99.01,17.29,333.313,305.648
12,25,15,0,41,15,6.2,0.11,38.016,15.5,123.474,103.245
12,25,16,0,5,15,6.4,0.11,4.621,15.05,8.383,0
12,25,17,0,0,15,6.9,0.11,0,15,0,0
12,25,18,0,0,14,7.4,0.11,0,14,0,0
12,25,19,0,0,13,8,0.11,0,13,0,0
12,25,20,0,0,12,7.5,0.11,0,12,0,0
12,25,21,0,0,12,6.5,0.11,0,12,0,0
12,25,22,0,0,11,6.1,0.11,0,11,0,0
12,25,23,0,0,11,5.8,0.11,0,11,0,0
12,26,0,0,0,11,5.6,0.11,0,11,0,0
12,26,1,0,0,11,5.7,0.11,0,11,0,0
12,26,2,0,0,11,5.6,0.11,0,11,0,0
12,26,3,0,0,11,5.5,0.11,0,11,0,0
12,26,4,0,0,11,5.4,0.11,0,11,0,0
12,26,5,0,0,11,5.4,0.11,0,11,0,0
12,26,6,0,0,11,5.5,0.11,0,11,0,0
12,26,7,396,38,11,5.8,0.11,168.309,13.236,516.756,482.591
12,26,8,705,63,11,6.1,0.11,427.553,16.722,1532.95,1462.777
12,26,9,841,74,12,6.3,0.11,641.316,20.403,2282.838,2186.094
12,26,10,905,78,13,6.4,0.11,780.506,23.102,2733.526,2620.812
12,26,11,930,80,13,6.3,0.11,848.39,24.091,2949.303,2828.943
12,26,12,924,80,13,6.1,0.11,833.876,24.144,2900.584,2781.95
12,26,13,882,79,13,5.9,0.11,742.175,23.153,2603.569,2495.46
12,26,14,805,71,12,5.4,0.11,574.62,20.346,2049.301,1960.832
12,26,15,639,55,11,4.6,0.11,347.172,16.534,1211.299,1152.523
12,26,16,193,20,10,3.6,0.1,70.602,11.017,130.504,110.025
12,26,17,0,0,10,3.2,0.1,0,10,0,0
12,26,18,0,0,10,3.4,0.1,0,10,0,0
12,26,19,0,0,10,3.6,0.1,0,10,0,0
12,26,20,0,0,10,3.5,0.1,0,10,0,0
12,26,21,0,0,10,3.2,0.1,0,10,0,0
12,26,22,0,0,10,3.1,0.1,0,10,0,0
12,26,23,0,0,10,3.2,0.1,0,10,0,0
12,27,0,0,0,10,3.4,0.1,0,10,0,0
12,27,1,0,0,9,3.4,0.1,0,9,0,0
12,27,2,0,0,9,3.3,0.1,0,9,0,0
12,27,3,0,0,9,3,0.1,0,9,0,0
12,27,4,0,0,8,2.7,0.1,0,8,0,0
12,27,5,0,0,8,2.5,0.1,0,8,0,0
12,27,6,0,0,8,2.2,0.1,0,8,0,0
12,27,7,488,32,10,2.4,0.1,184.831,14.005,561.279,525.536
12,27,8,762,54,11,2.8,0.1,444.908,20.377,1575.023,1503.36
12,27,9,877,66,12,2.8,0.1,650.553,25.723,2271.78,2175.427
12,27,10,934,71,13,2.7,0.1,793.946,30.018,2709.829,2597.955
12,27,11,957,74,14,2.7,0.1,863.315,32.489,2907.528,2788.649
12,27,12,955,73,14,2.7,0.1,851.01,32.229,2871.214,2753.622
12,27,13,928,70,14,2.6,0.1,761.131,30.616,2597.063,2489.184
12,27,14,864,62,14,2.4,0.1,601.116,27.637,2087.587,1997.761
12,27,15,720,48,13,1.9,0.1,373.263,22.271,1277.349,1216.233
12,27,16,323,18,11,1.6,0.1,96.983,12.976,174.95,152.896
12,27,17,0,0,10,1.5,0.1,0,10,0,0
12,27,18,0,0,10,1.5,0.1,0,10,0,0
12,27,19,0,0,9,1.5,0.1,0,9,0,0
12,27,20,0,0,9,1.7,0.1,0,9,0,0
12,27,21,0,0,9,2,0.1,0,9,0,0
12,27,22,0,0,8,2.5,0.1,0,8,0,0
12,27,23,0,0,8,2.9,0.1,0,8,0,0
12,28,0,0,0,7,3.3,0.1,0,7,0,0
12,28,1,0,0,7,3.5,0.1,0,7,0,0
12,28,2,0,0,7,3.6,0.1,0,7,0,0
12,28,3,0,0,7,3.6,0.1,0,7,0,0
12,28,4,0,0,7,3.6,0.1,0,7,0,0
12,28,5,0,0,7,3.5,0.1,0,7,0,0
12,28,6,0,0,7,3.8,0.1,0,7,0,0
12,28,7,513,32,9,4.4,0.1,190.806,12.005,582.465,545.972
12,28,8,786,55,11,5,0.1,456.918,17.962,1632.34,1558.645
12,28,9,895,66,13,5.1,0.1,661.647,22.965,2334.712,2236.13
12,28,10,947,71,14,4.7,0.1,803.636,26.717,2777.216,2662.953
12,28,11,965,73,15,4.1,0.1,868.946,29.91,2955.344,2834.77
12,28,12,961,71,15,3.5,0.1,854.264,31.026,2895.427,2776.977
12,28,13,932,67,15,3,0.1,761.719,30.51,2600.176,2492.187
12,28,14,866,60,15,2.5,0.1,597.627,28.309,2070.412,1981.194
12,28,15,722,47,13,1.9,0.1,374.458,22.303,1282.648,1221.344
12,28,16,0,36,11,1.7,0.1,40.312,11.878,82.519,63.741
12,28,17,0,0,10,2,0.1,0,10,0,0
12,28,18,0,0,10,2.3,0.1,0,10,0,0
12,28,19,0,0,9,2.4,0.1,0,9,0,0
12,28,20,0,0,9,2.5,0.1,0,9,0,0
12,28,21,0,0,8,2.6,0.1,0,8,0,0
12,28,22,0,0,8,2.5,0.1,0,8,0,0
12,28,23,0,0,8,2.4,0.1,0,8,0,0
12,29,0,0,0,8,2.3,0.1,0,8,0,0
12,29,1,0,0,8,2.2,0.1,0,8,0,0
12,29,2,0,0,8,2.1,0.1,0,8,0,0
12,29,3,0,0,8,2,0.1,0,8,0,0
12,29,4,0,0,8,1.9,0.1,0,8,0,0
12,29,5,0,0,8,1.8,0.1,0,8,0,0
12,29,6,0,0,8,1.7,0.1,0,8,0,0
12,29,7,125,40,10,2.1,0.1,85.723,11.988,263.994,238.785
12,29,8,140,113,12,2.4,0.1,191.791,16.334,669.047,629.486
12,29,9,316,166,13,2.3,0.1,392.021,22.036,1367.836,1303.514
12,29,10,503,175,14,2.5,0.1,588.285,27.05,2017.993,1930.633
12,29,11,391,224,15,2.7,0.1,568.219,27.14,1936.971,1852.482
12,29,12,260,245,14,2.6,0.1,484.012,24.519,1658.98,1584.341
12,29,13,100,217,14,2.3,0.1,298.673,20.862,1027.692,975.423
12,29,14,39,152,13,1.8,0.1,180.246,17.582,621.393,583.52
12,29,15,20,86,12,1.5,0.1,97.37,14.639,330.345,302.785
12,29,16,0,13,11,1.5,0.1,12.035,11.274,23.36,6.678
12,29,17,0,0,11,1.4,0.1,0,11,0,0
12,29,18,0,0,11,1.3,0.1,0,11,0,0
12,29,19,0,0,11,1.2,0.1,0,11,0,0
12,29,20,0,0,11,1.2,0.1,0,11,0,0
12,29,21,0,0,11,1.5,0.1,0,11,0,0
12,29,22,0,0,11,1.7,0.1,0,11,0,0
12,29,23,0,0,11,1.9,0.1,0,11,0,0
12,30,0,,,11,,,,,,0
